id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNNaF9HRTlnRRABGhZrREpXVkxhZzJ3OWNOem5VRmF6NVBB,,Hace 3 meses,2020-03-23 12:27:19.867002,5.0,MIKE Live,1,0,https://www.google.com/maps/contrib/105898443078984637129?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNNLV9iV0ZnEAEaFk9pTmRvc3ZJQWJBZG93TXhSa1piWUE,Muy divertido y ameno. Los niños se lo pasan genial al tener una zona interactiva. Es gratuito. Muy recomendable!!,Hace 3 meses,2020-03-23 12:27:19.867999,5.0,Sara Espada Muñoz,0,0,https://www.google.com/maps/contrib/112234724565068606674?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNNdS1IZnpBRRABGhZ2amRTUnM0MVU3UUdhRmVsSW9kVDhR,,Hace 3 meses,2020-03-23 12:27:19.868996,5.0,pedro perez garcia,1,0,https://www.google.com/maps/contrib/116727388108847737780?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNNbTRLMUhnEAEaFmxxbFQtdjhmOFBRemVHWlFocmVheFE,"Me ha encantado, allí se puede ver las variedades de disfraces de los desfiles, así como tiene una zona interactiva.",Hace 3 meses,2020-03-23 12:27:19.869994,5.0,MrJGEngenhocas,0,0,https://www.google.com/maps/contrib/118035923306325873708?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNNM2M3bWdRRRABGhZ2dDJndW9FNnJVREJybjU3SjBnNmJR,Porque es muy original y bello,Hace 3 meses,2020-03-23 12:27:19.870991,5.0,Encarna Dominguez. Pareja,25,0,https://www.google.com/maps/contrib/106411002124035908001?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNNM2JhZE9nEAEaFkhSWDFkSXplb0Z2MWVqT0ZXLXA2d2c,,Hace 3 meses,2020-03-23 12:27:19.871989,5.0,Jesús Angel Casado Alonso,13,0,https://www.google.com/maps/contrib/100124398039775324403?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNNNVpqZjJRRRABGhZ2dV9uYnRGLXZwSVplbjdLeDAyU19n,,Hace 3 meses,2020-03-23 12:27:19.872986,5.0,CHEMA lopez,2,0,https://www.google.com/maps/contrib/117667580200306205824?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNNX3RyaFJ3EAEaFmJQSDFlTzVNN2tfTDlzOWJEOTZ5c1E,(Traducido por Google) ¡Acceso gratis! Bonito lugar para visitar!  (Original) Access for free! Nice place to visit!,Hace 4 meses,2020-03-23 12:27:19.873987,5.0,Swag Music,0,0,https://www.google.com/maps/contrib/108860080455729498306?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNNN3NDQW1nRRABGhZLa0oyNldyZXpsOEFZSllfTHo4MXV3,,Hace 4 meses,2020-03-23 12:27:19.874982,5.0,Toni Purificación Campiñe,0,0,https://www.google.com/maps/contrib/103638276673261031211?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNNdEkzZ3lRRRABGhZmd1VBbURkVGs3QXJEVGlkM05tcE5B,,Hace 4 meses,2020-03-23 12:27:26.285615,4.0,Paco Duran,0,0,https://www.google.com/maps/contrib/100626913191927841238?hl=es-ES
