id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURzM09tRHB3RRABGhZoRVRpVHpIOHU2cXotWDBIcVNmUlB3,,Hace 3 semanas,2020-03-23 12:39:33.467132,5.0,JOSE TOMAS RAPOSO,0,0,https://www.google.com/maps/contrib/111334550105344675084?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzck03cE9BEAEaFkpNaGlSTTlHX1N6bDZSRXZxUklaNGc,,Hace 3 semanas,2020-03-23 12:39:33.468127,4.0,Michelle Delaigue,2,0,https://www.google.com/maps/contrib/100564361434783891722?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzak1xMmRnEAEaFm8tSkVfeHUxV1hqSTFqRkZ5ajlwNUE,"Tiene palmeras súper altas y distintos tipos de plantas y árboles bien señalizando con muchos patos y una pareja de pavos reales que se pueden ver aveces sueltos con bar y juegos para los niños adaptado para silla de ruedas, poco aparcamiento junto a la comisaría de policía y guardia civil con fuente de agua ah si y en los árboles de moras se pueden ver ratas de un lado a otro entonces no es buena idea llevar y dejar al bebé debajo para que le de sombra .",Hace 3 semanas,2020-03-23 12:39:33.469130,3.0,Alejandro Bueno,0,0,https://www.google.com/maps/contrib/106347957837518381067?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzeFBtRUh3EAEaFjZsRXhEQTRnb2VhQ0tBdUxwSEpLemc,,Hace 4 semanas,2020-03-23 12:39:33.469130,4.0,Miguel Rato,0,0,https://www.google.com/maps/contrib/109049256839346088112?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzeEp6ZER3EAEaFnZEY0U4V0FtbGhKbktHQTBEUl8yMXc,,Hace 4 semanas,2020-03-23 12:39:33.470126,5.0,manuel palacino,0,0,https://www.google.com/maps/contrib/103989153967669352373?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzLU11UGNnEAEaFjJNSmFzR2thZklkSkV6TXZ4WDNPV2c,"Excelente para llevar a los niños para que vean patos, palomas, pavos reales, tortugas y peces de colores.",Hace 4 semanas,2020-03-23 12:39:33.471121,5.0,maria montero lopez,2,0,https://www.google.com/maps/contrib/115612174213331236859?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzLVAzQUR3EAEaFnhOcHplSnFEYnhPSUp6eGJsSnpJc1E,Perfecto para ir con niños,Hace 4 semanas,2020-03-23 12:39:33.472117,5.0,marisa valerio,4,0,https://www.google.com/maps/contrib/105675072212410801441?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzLVBxbXZBRRABGhY2d3pGYzVDdFkxNDBDaUp3ZzFSM2FR,,Hace un mes,2020-03-23 12:39:39.905826,3.0,Jose Torres,0,0,https://www.google.com/maps/contrib/106017673473053992847?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzLUxUOV93RRABGhY3aTNmNDBBbFhXdXRfSmVYcG5TV19B,,Hace un mes,2020-03-23 12:39:39.906824,5.0,Pablo Retamal,0,0,https://www.google.com/maps/contrib/111553148818149048119?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzMk56YnhnRRABGhZVNFA1ajJITmhyRWdFc2lkYnczWlJn,,Hace un mes,2020-03-23 12:39:39.907821,5.0,Izan Santana,5,0,https://www.google.com/maps/contrib/103213245517682611804?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzNlBDaFJBEAEaFjlmYVQxVzNrYTBDOTNZb1M1SUExbGc,Los pavos reales son una pasada,Hace un mes,2020-03-23 12:39:39.908818,5.0,Abel Mateos,0,0,https://www.google.com/maps/contrib/101572647266972153235?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzOE9UcFV3EAEaFlRadFUyYnZTSlZwaFBYeEp6Y0lKdkE,,Hace un mes,2020-03-23 12:39:39.909815,3.0,Manuel Rodríguez,11,0,https://www.google.com/maps/contrib/101653097051695790493?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzc0lQNlJBEAEaFlE4eHFkNU9FSFl3VkpuMVpCRFJKdnc,,Hace un mes,2020-03-23 12:39:39.910814,5.0,cjgg10,1,0,https://www.google.com/maps/contrib/117647330748839886566?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzc0xMWXBnRRABGhZmUkpZX1FWZ3p2M3d2Q1RwS1VGZzZB,,Hace un mes,2020-03-23 12:39:39.911812,5.0,pedro blanco diaz,1,0,https://www.google.com/maps/contrib/116252680585982437951?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzNEl2d1hnEAEaFldFUUxNUmM5ckJ3aDdSWEh5eWF6dnc,,Hace un mes,2020-03-23 12:39:39.912808,5.0,Eduardo Garcia,0,0,https://www.google.com/maps/contrib/114418895107586022394?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzdjRMZTZBRRABGhZsRGl4TnlEblFkS3pLeXVXLVNYbHh3,Perfecto para ir con niños y tomar un refresco en el quiosco,Hace un mes,2020-03-23 12:39:39.913805,4.0,Jose Antonio Hernandez,46,0,https://www.google.com/maps/contrib/108845076899821998652?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzdi1qZEJREAEaFkpoMDViSTNyQVE3TkRib1FFbE9Ka0E,,Hace un mes,2020-03-23 12:39:39.914802,4.0,Alex MG,3,0,https://www.google.com/maps/contrib/105965580564710464084?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzbjR1b0VREAEaFjNPMkpUa09pV1ltR2dZS2ZacG0zVEE,,Hace un mes,2020-03-23 12:39:46.361152,3.0,Ines Duran Gutierrez,4,0,https://www.google.com/maps/contrib/101263506441655415793?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzel9tdGJBEAEaFktiNXAyTzZfWEt2V2ZPQ3Vzay1yT0E,,Hace un mes,2020-03-23 12:39:46.362149,4.0,juanma gg,1,0,https://www.google.com/maps/contrib/117871667410406038817?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzai1pb0Z3EAEaFm02OVY1RlpNWVNMVENvZnZJM2s4UUE,,Hace un mes,2020-03-23 12:39:46.363146,5.0,Dolores Montiel Gómez,50,0,https://www.google.com/maps/contrib/111065112770820271128?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzdDZIcFJREAEaFmdROHlkZzI5bWlDMEJxZDJrTjJndWc,,Hace un mes,2020-03-23 12:39:46.364144,4.0,Esther Silvero,0,0,https://www.google.com/maps/contrib/111209853467172374764?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzNTdXd0p3EAEaFlkwaDlJLUZidlZSSWJXNWlRMnl0eEE,,Hace un mes,2020-03-23 12:39:46.365141,5.0,Sma,54,0,https://www.google.com/maps/contrib/112998452632887952663?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzNTVhLUxREAEaFlJpNjZNSkJBbkxaM0ZxZ0xLdW9Pcnc,,Hace un mes,2020-03-23 12:39:46.366139,4.0,Antonio Caña Moreno,0,0,https://www.google.com/maps/contrib/104886022600066373489?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzNTRMRjJnRRABGhZiZHJOWE4wVFI4UVM0MDdkaE1VRDB3,,Hace un mes,2020-03-23 12:39:46.366139,5.0,Raul Gonzalez Leon,1,0,https://www.google.com/maps/contrib/118161658262146378567?hl=es-ES
